GID_4,GID_0,COUNTRY,GID_1,NAME_1,GID_2,NAME_2,GID_3,NAME_3,NAME_4,VARNAME_4,TYPE_4,ENGTYPE_4,CC_4
IDN.9.14.10.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.10_1,Bojongloa Kaler,Babakan Tarogong,NA,Kelurahan,Urban Community,3273030004
IDN.9.14.10.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.10_1,Bojongloa Kaler,Jamika,NA,Kelurahan,Urban Community,3273030005
IDN.9.14.10.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.10_1,Bojongloa Kaler,Kopo,NA,Kelurahan,Urban Community,3273030001
IDN.9.14.10.5_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.10_1,Bojongloa Kaler,Suka Asih,NA,Kelurahan,Urban Community,3273030002
IDN.9.14.11.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.11_1,Bojongloa Kidul,Cibaduyut,NA,Kelurahan,Urban Community,3273040004
IDN.9.14.11.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.11_1,Bojongloa Kidul,Cibaduyut Kidul,NA,Kelurahan,Urban Community,3273040001
IDN.9.14.11.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.11_1,Bojongloa Kidul,Cibaduyut Wetan,NA,Kelurahan,Urban Community,3273040002
IDN.9.14.11.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.11_1,Bojongloa Kidul,Kebon Lega,NA,Kelurahan,Urban Community,3273040005
IDN.9.14.11.5_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.11_1,Bojongloa Kidul,Mekar Wangi,NA,Kelurahan,Urban Community,3273040003
IDN.9.14.11.6_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.11_1,Bojongloa Kidul,Situsaeur,NA,Kelurahan,Urban Community,3273040006
IDN.9.14.12.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.12_1,Buahbatu,Cijaura,NA,Kelurahan,Urban Community,3273090001
IDN.9.14.12.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.12_1,Buahbatu,Jati Sari,NA,Kelurahan,Urban Community,3273090004
IDN.9.14.12.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.12_1,Buahbatu,Margasari,NA,Kelurahan,Urban Community,3273090002
IDN.9.14.12.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.12_1,Buahbatu,Sekejati,NA,Kelurahan,Urban Community,3273090003
IDN.9.14.13.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.13_1,Cibeunying Kaler,Cigadung,NA,Kelurahan,Urban Community,3273220004
IDN.9.14.13.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.13_1,Cibeunying Kaler,Cihaurgeulis,NA,Kelurahan,Urban Community,3273220001
IDN.9.14.13.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.13_1,Cibeunying Kaler,Neglasari,NA,Kelurahan,Urban Community,3273220003
IDN.9.14.13.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.13_1,Cibeunying Kaler,Sukaluyu,NA,Kelurahan,Urban Community,3273220002
IDN.9.14.14.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.14_1,Cibeunying Kidul,Cicadas,NA,Kelurahan,Urban Community,3273210002
IDN.9.14.14.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.14_1,Cibeunying Kidul,Cikutra,NA,Kelurahan,Urban Community,3273210003
IDN.9.14.14.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.14_1,Cibeunying Kidul,Padasuka,NA,Kelurahan,Urban Community,3273210004
IDN.9.14.14.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.14_1,Cibeunying Kidul,Pasirlayung,NA,Kelurahan,Urban Community,3273210005
IDN.9.14.14.5_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.14_1,Cibeunying Kidul,Sukamaju,NA,Kelurahan,Urban Community,3273210001
IDN.9.14.14.6_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.14_1,Cibeunying Kidul,Sukapada,NA,Kelurahan,Urban Community,3273210006
IDN.9.14.15.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.15_1,Cibiru,Cipadung,NA,Kelurahan,Urban Community,3273110004
IDN.9.14.15.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.15_1,Cibiru,Cisurupan,NA,Kelurahan,Urban Community,3273110006
IDN.9.14.15.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.15_1,Cibiru,Palasari,NA,Kelurahan,Urban Community,3273110005
IDN.9.14.15.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.15_1,Cibiru,Pasir Biru,NA,Kelurahan,Urban Community,3273110003
IDN.9.14.16.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.16_1,Cicendo,Arjuna,NA,Kelurahan,Urban Community,3273190001
IDN.9.14.16.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.16_1,Cicendo,Husen Sastranegara,NA,Kelurahan,Urban Community,3273190005
IDN.9.14.16.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.16_1,Cicendo,Pajajaran,NA,Kelurahan,Urban Community,3273190004
IDN.9.14.16.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.16_1,Cicendo,Pamoyanan,NA,Kelurahan,Urban Community,3273190003
IDN.9.14.16.5_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.16_1,Cicendo,Pasirkaliki,NA,Kelurahan,Urban Community,3273190002
IDN.9.14.16.6_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.16_1,Cicendo,Sukaraja,NA,Kelurahan,Urban Community,3273190006
IDN.9.14.17.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.17_1,Cidadap,Ciumbuleuit,NA,Kelurahan,Urban Community,3273260002
IDN.9.14.17.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.17_1,Cidadap,Hegarmanah,NA,Kelurahan,Urban Community,3273260001
IDN.9.14.17.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.17_1,Cidadap,Ledeng,NA,Kelurahan,Urban Community,3273260003
IDN.9.14.18.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.18_1,Cinambo,Babakan Penghulu,NA,Kelurahan,Urban Community,3273121002
IDN.9.14.18.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.18_1,Cinambo,Cisaranten Wetan,NA,Kelurahan,Urban Community,3273121001
IDN.9.14.18.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.18_1,Cinambo,Pakemitan,NA,Kelurahan,Urban Community,3273121003
IDN.9.14.18.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.18_1,Cinambo,Sukamulya,NA,Kelurahan,Urban Community,3273121004
IDN.9.14.19.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.19_1,Coblong,Cipaganti,NA,Kelurahan,Urban Community,3273230001
IDN.9.14.19.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.19_1,Coblong,Dago,NA,Kelurahan,Urban Community,3273230006
IDN.9.14.19.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.19_1,Coblong,Lebak Gede,NA,Kelurahan,Urban Community,3273230003
IDN.9.14.19.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.19_1,Coblong,Lebak Siliwangi,NA,Kelurahan,Urban Community,3273230002
IDN.9.14.19.5_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.19_1,Coblong,Sadang Serang,NA,Kelurahan,Urban Community,3273230004
IDN.9.14.19.6_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.19_1,Coblong,Sekeloa,NA,Kelurahan,Urban Community,3273230005
IDN.9.14.20.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.20_1,Gedebage,Cimincrang,NA,Kelurahan,Urban Community,3273101004
IDN.9.14.20.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.20_1,Gedebage,Cisaranten Kidul,NA,Kelurahan,Urban Community,3273101003
IDN.9.14.20.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.20_1,Gedebage,Rancabolang,NA,Kelurahan,Urban Community,3273101001
