name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level,ID_Kelurahan 
Martabak babeh,"Jalan Terusan Jakarta No.313, Antapani Wetan",-6.9147431,107.665869,OPERATIONAL,4.7,25,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.2.4_1
PANASCUK,"Jalan Sindang Sari Utama No.3, Antapani Wetan",-6.9091012,107.6638341,OPERATIONAL,4.7,3,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.2.4_1
Steak & Burger Teras Yani's,"Jalan Sindang Sari I No.37, Antapani Wetan",-6.9090625,107.6642517,CLOSED_TEMPORARILY,4.8,48,"restaurant, food, point_of_interest, establishment",1,IDN.9.14.2.4_1
Bakmicen,"3MR7+6QP, Antapani Wetan",-6.9094072,107.6644471,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.2.4_1
Sinte Team 26,"3MR7+6QP, Jl. Cigaurkuku Gg. Akiasmanta, Antapani Wetan",-6.9094072,107.6644471,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.2.4_1
Warung nasi kuning dan uduk mama riu,"Jalan Sindang Sari III gang mawar 3 No.29 rt 06/09, Antapani Wetan",-6.9095735,107.6637158,OPERATIONAL,5,5,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.2.4_1
Warung Seblak Umi Sindangsari,"Jalan Sindang Sari I Gang Melati 2 No.1, Antapani Wetan",-6.9089486,107.6644383,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.2.4_1
baso warkup,"No., Jalan Sindang Sari I No.50B, Antapani Wetan",-6.9098529,107.6641923,OPERATIONAL,4.7,29,"restaurant, food, point_of_interest, establishment",1,IDN.9.14.2.4_1
Pempek HOT sinsar,"Jalan Sindang Sari I No.10, Antapani Wetan",-6.9098976,107.6640844,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.2.4_1
Warung Nasi Bu Yanti,"Jalan Sindang Sari I No.54, Antapani Wetan",-6.9086515,107.6641289,OPERATIONAL,5,5,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.2.4_1
Balok99 & Dimsum 99,"Jalan Bekamin No.11, Cikutra",-6.9085975,107.6642333,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.2.4_1
Nasi Goreng Afdhal Dan Nasi Goreng Paksu,"Jalan Sindang Sari III No.63, Antapani Wetan",-6.9086893,107.6634351,OPERATIONAL,4.5,8,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.2.4_1
cemilan,Jalan Sindang Sari III Gang Mawar â¢ No.28,-6.9097146,107.663067,OPERATIONAL,Unknown,Unknown,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.2.4_1
