name,address,lat,lng,business_status,rating,user_ratings_total,types,ID_Kelurahan
MTsN 2 Kota Bandung,"Jalan Antapani Lama No.78, Antapani Kulon",-6.910048,107.6578677,OPERATIONAL,4.5,135,"school, point_of_interest, establishment",IDN.9.14.2.2_1
SDN 209 Antapani,"Jalan Antapani Lama No.1, Antapani Kulon",-6.9103513,107.6579522,OPERATIONAL,5,1,"primary_school, school, point_of_interest, establishment",IDN.9.14.2.2_1
TK Generasi Unggul Antapani,"Jalan Cikajang Raya No.60, Antapani Tengah",-6.9192378,107.6657953,OPERATIONAL,5,21,"point_of_interest, school, establishment",IDN.9.14.2.3_1
Prime Smart Islamic Montessori,"Jalan Kuningan Raya No.7, Antapani Tengah",-6.9146174,107.6603472,OPERATIONAL,4.5,6,"point_of_interest, school, establishment",IDN.9.14.2.3_1
Mutiara Hati Islamic School,"Jalan Terusan Jakarta Jalan Cikajang Raya RT.04/RW.22, Antapani Tengah",-6.9205288,107.6665957,OPERATIONAL,4.5,47,"point_of_interest, school, establishment",IDN.9.14.2.3_1
Sekolah Lare Alit,"Jalan Terusan Jakarta No.214, Antapani Tengah",-6.9144739,107.6629752,OPERATIONAL,4.9,22,"point_of_interest, school, establishment",IDN.9.14.2.3_1
TK Anak Ceria Antapani,"Jalan Puri Dago Mas Utara 1 No.Raya No.1, Antapani Tengah",-6.9231469,107.665285,OPERATIONAL,5,26,"point_of_interest, school, establishment",IDN.9.14.2.3_1
TK & PG Kids Alifa Antapani,"Jalan Subang No.53, Antapani Tengah",-6.9152713,107.6548649,OPERATIONAL,4.8,51,"point_of_interest, school, establishment",IDN.9.14.2.3_1
Sekolah Tahfidzul Qur'an Baitul Muttaqin Kampus 1,"Jalan Kuningan Raya No.107, Antapani Tengah",-6.9191263,107.6631753,OPERATIONAL,5,8,"school, point_of_interest, establishment",IDN.9.14.2.3_1
Rumah Main Senusa,"Jalan Cikajang XV No.5, Antapani Tengah",-6.9180728,107.6633723,OPERATIONAL,5,3,"point_of_interest, school, establishment",IDN.9.14.2.3_1
Senior High School 23 Bandung,"Jalan Malangbong, Antapani Wetan",-6.9127478,107.6648985,OPERATIONAL,4.4,158,"school, point_of_interest, establishment",IDN.9.14.2.4_1
Growing Tree Daycare & Preschool,"Jawa Ba, Jalan Bumi Mas Kencana III No.2, Antapani Wetan",-6.904957,107.663576,OPERATIONAL,4.8,46,"school, health, point_of_interest, establishment",IDN.9.14.2.4_1
TAMAN BACA NURUL BAYTI,"Jalan Sindang Sari III No.4, RT.03/RW.09, Antapani Wetan",-6.9101737,107.6637375,OPERATIONAL,5,7,"school, point_of_interest, establishment",IDN.9.14.2.4_1
Taman Kanan-kanak Qur'an (TKQ) Riyadul Muttaqien,"Jalan Sindang Sari I No.7, Antapani Wetan",-6.910248,107.6642426,OPERATIONAL,4,1,"school, point_of_interest, establishment",IDN.9.14.2.4_1
TKQ-TPQ-MDTA RIYADLUL MUTTAQIN,"Jalan Sindang Sari III Gang Mesjid 3 No.5A, RT.03/RW.09, Antapani Wetan",-6.9101643,107.6635356,OPERATIONAL,5,49,"school, point_of_interest, establishment",IDN.9.14.2.4_1
School SMP PGRI 8,"Jalan Sindang Sari I No.7, Antapani Wetan",-6.9081843,107.6647958,OPERATIONAL,3.9,8,"school, point_of_interest, establishment",IDN.9.14.2.4_1
Pondok Pesantren Muslimin,"Jalan Sindang Sari II No.35, Antapani Wetan",-6.9074065,107.6634776,OPERATIONAL,4.3,6,"school, point_of_interest, establishment",IDN.9.14.2.4_1
SDN 078 Sindangsari Antapani,"Jalan Sindang Sari I No.1, Antapani Wetan",-6.9061149,107.6645762,OPERATIONAL,4.9,15,"primary_school, school, point_of_interest, establishment",IDN.9.14.2.4_1
Sekolah Dasar Industri,"Jalan Industri Jalan Industri Dalam No.2, Arjuna",-6.9127283,107.5948052,OPERATIONAL,4.5,6,"primary_school, point_of_interest, school, establishment",IDN.9.14.16.1_1
Bina Bakti Christian Middle School 2,"Jalan Bima No.1, Arjuna",-6.9121609,107.5954822,OPERATIONAL,4.8,52,"point_of_interest, school, establishment",IDN.9.14.16.1_1
SMP Negeri 9 Bandung,"Jalan Semar No.5, Arjuna",-6.9089943,107.5969819,OPERATIONAL,4.3,136,"point_of_interest, school, establishment",IDN.9.14.16.1_1
MI Al-Ishlah Kota Bandung,"Jalan. KH Wahid Hasyim No. 224/198-A, Babakan Asih, Bojongloa Kaler, Babakan Asih",-6.9342728,107.5956323,OPERATIONAL,4.8,49,"primary_school, point_of_interest, school, establishment",IDN.9.14.10.1_1
SD AL - FATAH,"Jalan Sukaleueur, Babakan Asih",-6.9319215,107.5947852,OPERATIONAL,4.4,9,"primary_school, point_of_interest, school, establishment",IDN.9.14.10.1_1
SD Al-Qur'an Islamiyah,"Jalan Sukaleueur No.9, Babakan Asih",-6.932272,107.5955534,OPERATIONAL,5,7,"point_of_interest, school, establishment",IDN.9.14.10.1_1
Madrasah Al Ittihad,"Jalan Sukaleueur, Babakan Asih",-6.9316307,107.5940289,OPERATIONAL,5,1,"school, point_of_interest, establishment",IDN.9.14.10.1_1
DTA Ath-Thahiry,"Jalan Raya Kopo No.177, Babakan Asih",-6.9337312,107.5956101,OPERATIONAL,5,2,"point_of_interest, school, establishment",IDN.9.14.10.1_1
TK Islam ISLAMIYAH,"Jalan. Sukaleueur III No.100/198A, Babakan Asih",-6.932382,107.5964501,OPERATIONAL,5,5,"school, point_of_interest, establishment",IDN.9.14.10.1_1
MI Bahrul Ihsan,"Jalan Babakan Tarogong No.477, Babakan Asih",-6.9334438,107.5933777,OPERATIONAL,4,5,"primary_school, point_of_interest, school, establishment",IDN.9.14.10.1_1
Vocational High School 1 Bandung,"Jalan Wastukencana No.3, Babakan Ciamis",-6.9131564,107.6088987,OPERATIONAL,4.8,564,"school, point_of_interest, establishment",IDN.9.14.29.1_1
Madrasah Ash-Shaff,"Jalan Babakan Ciamis No.205 5-B, Babakan Ciamis",-6.908249,107.606921,OPERATIONAL,5,8,"school, point_of_interest, establishment",IDN.9.14.29.1_1
SLB Negeri Cicendo Kota Bandung,"Jalan Cicendo No.2, Babakan Ciamis",-6.9109705,107.6043748,OPERATIONAL,4.3,27,"school, point_of_interest, establishment",IDN.9.14.29.1_1
PAUD PERMATA CENDIKIA,"Jalan Babakan Ciamis No.57 b, Babakan Ciamis",-6.911172,107.6067358,OPERATIONAL,5,3,"school, point_of_interest, establishment",IDN.9.14.29.1_1
Sequoia School - SD Nasional Plus,"Dekat Balai Kota, Jalan Aceh No.6, Babakan Ciamis",-6.910456,107.6061871,OPERATIONAL,4.7,48,"primary_school, school, point_of_interest, establishment",IDN.9.14.29.1_1
Santa Angela Bandung,"Jalan. Merdeka No.24, Babakan Ciamis, Kec. Sumur Bandung, Jawa",-6.9127256,107.6108886,OPERATIONAL,4.5,210,"school, point_of_interest, establishment",IDN.9.14.29.1_1
TKA /TPA Baitusy Syuhada,"Jalan Caringin No.126, Babakan Ciparay",-6.9449652,107.5820498,OPERATIONAL,5,2,"school, point_of_interest, establishment",IDN.9.14.5.2_1
DTA NURUL HUDA,Jalan Caringin Gang Lumbung 4,-6.9428277,107.5800763,OPERATIONAL,5,2,"school, point_of_interest, establishment",IDN.9.14.5.2_1
PKBM RESIDIVIST,"Jalan Caringin Gang Cikungkurak No.54, Babakan Ciparay",-6.9431121,107.5802554,OPERATIONAL,5,1,"school, point_of_interest, establishment",IDN.9.14.5.2_1
Madrasah MQ LABAZ,"Jalan Soekarno - Hatta Gang Assalam, Babakan Ciparay",-6.9394646,107.5777119,OPERATIONAL,5,2,"school, point_of_interest, establishment",IDN.9.14.5.2_1
R.A Al-Hidayah,"No.96, R.A Al- Hidayah, Jalan Caringin Gang Cikungkurak, Babakan Ciparay",-6.9416032,107.5768918,CLOSED_TEMPORARILY,5,11,"school, point_of_interest, establishment",IDN.9.14.5.2_1
State Primary School Babakan Ciparay 1,"Jalan Caringin No.150, Babakan Ciparay",-6.9442547,107.5803513,OPERATIONAL,4.3,29,"primary_school, school, point_of_interest, establishment",IDN.9.14.5.2_1
SDN 213 Babakan Ciparay,"Jalan Sumber Endah No.74, Babakan Ciparay",-6.9402097,107.57647,OPERATIONAL,4.2,26,"primary_school, school, point_of_interest, establishment",IDN.9.14.5.2_1
TK & PAUD Holis Permai,"Jalan. Caringin, Babakan Ciparay, Blok Beas RT08 RW06, Babakan Ciparay",-6.9400979,107.576104,OPERATIONAL,4.5,2,"school, point_of_interest, establishment",IDN.9.14.5.2_1
SDN Cisaranten Wetan 2,"Jalan Gedebage Selatan No.16, Babakan Penghulu",-6.9410758,107.6916077,OPERATIONAL,5,1,"primary_school, school, point_of_interest, establishment",IDN.9.14.18.1_1
TK Plus Aisyahmudin,"Jalan Rancameong, Babakan Penghulu",-6.9392617,107.6891951,OPERATIONAL,5,4,"school, point_of_interest, establishment",IDN.9.14.18.1_1
TK Asy Syifa,"Jalan Rancameong No.Kel, RT.02/RW.05, Babakan Penghulu",-6.9398381,107.6900894,OPERATIONAL,5,6,"school, point_of_interest, establishment",IDN.9.14.18.1_1
POS PAUD MUTIARA INSAN,"Jalan Bebedahan No.171 Kel, RT.03/RW.03, Babakan Penghulu",-6.9389707,107.6865798,OPERATIONAL,5,2,"school, point_of_interest, establishment",IDN.9.14.18.1_1
SMP PGRI 9 Gedebage,"Jalan Gedebage Selatan No.17, Babakan Penghulu",-6.940792,107.691684,OPERATIONAL,5,5,"school, point_of_interest, establishment",IDN.9.14.18.1_1
SDN 052 Cisaranten Wetan Gedebage,"Jalan Gedebage Selatan No.17, Babakan Penghulu",-6.9407808,107.6917795,OPERATIONAL,5,2,"primary_school, school, point_of_interest, establishment",IDN.9.14.18.1_1
Sekolah Islam Karakter Baiturrahmah,"Grand Pinus Regency, Jalan Pinus VII, Babakan Penghulu",-6.9307403,107.6850127,OPERATIONAL,5,9,"primary_school, school, point_of_interest, establishment",IDN.9.14.18.1_1
SMK Kencana,"Jalan Babakan Surabaya No.44, Babakan Sari",-6.918768,107.64783,OPERATIONAL,4.5,103,"point_of_interest, school, establishment",IDN.9.14.21.1_1
SMA Plus Muthahhari Bandung,"Jalan Kampus II No.13-17, Babakan Sari",-6.9232736,107.6505996,OPERATIONAL,4.6,68,"point_of_interest, school, establishment",IDN.9.14.21.1_1
Senior High School 16 Bandung,"Jalan Mekarsari No.81, Babakan Sari",-6.9264691,107.6568007,OPERATIONAL,4,169,"point_of_interest, school, establishment",IDN.9.14.21.1_1
TK Az Zahra,"Jalan Kampus II No.4, Babakan Sari",-6.9227452,107.6505076,OPERATIONAL,4.3,7,"point_of_interest, school, establishment",IDN.9.14.21.1_1
SMA Bina Dharma 2,"Jalan Babakan Sari No.131, Babakan Sari",-6.9225322,107.6520992,OPERATIONAL,4.3,42,"point_of_interest, school, establishment",IDN.9.14.21.1_1
TK Global Cendekia School,"Jalan Kampus I No.39, RT.01/RW.08, Babakan Sari",-6.924606,107.6498431,OPERATIONAL,5,2,"school, point_of_interest, establishment",IDN.9.14.21.1_1
Little Smart - Antapani ( Day Care - Pre School/Playgroup - Kindergarten ),"Jalan Atlas Raya V No.11 & 34, Babakan Surabaya",-6.9158586,107.6474564,OPERATIONAL,5,2,"school, point_of_interest, establishment",IDN.9.14.21.2_1
SLB B Karya Bhakti,"Gang Dadap, Babakan Surabaya",-6.9149914,107.6486515,OPERATIONAL,5,3,"school, point_of_interest, establishment",IDN.9.14.21.2_1
YP Vocational High School. 17 Bandung,"Jalan Babakan Surabaya, Babakan Surabaya",-6.9165887,107.6464538,OPERATIONAL,4.4,16,"secondary_school, school, point_of_interest, establishment",IDN.9.14.21.2_1
SMP Negeri 33,"Jalan Babakan Tarogong, Babakan Tarogong",-6.9282637,107.589627,OPERATIONAL,4.5,106,"school, point_of_interest, establishment",IDN.9.14.10.2_1
TKQ Riyadhul Jannah,"Jalan Raden Dewi, Babakan Tarogong",-6.9275947,107.59096,OPERATIONAL,5,2,"school, point_of_interest, establishment",IDN.9.14.10.2_1
PAUD AR-ROHIM,"Jalan Soekarno-Hatta Gang Haji Hasan I RT.09/RW.10, Babakan",-6.9351394,107.5759937,OPERATIONAL,5,1,"school, point_of_interest, establishment",IDN.9.14.5.1_1
Bodhi Sinar Terang School 菩提光明学校,"Jalan Sumber Mekar No.27-2, RT.07/RW.11, Babakan",-6.9356782,107.5741038,OPERATIONAL,3.8,9,"school, point_of_interest, establishment",IDN.9.14.5.1_1
MTs Al Amanah Kota Bandung,"Jalan Sumber Sugih Komplek Sumber Sari Indah No.8, Babakan",-6.936698,107.5728672,OPERATIONAL,4.9,213,"school, point_of_interest, establishment",IDN.9.14.5.1_1
PAUD Kota Al Hidayah SSI,"Jalan Sumber Asih No.32-25, Babakan",-6.9358704,107.571905,OPERATIONAL,5,2,"school, point_of_interest, establishment",IDN.9.14.5.1_1
SDN 245 Sumbersari Indah,"Jalan Sumber Makmur No.3, Babakan",-6.9371801,107.5726694,OPERATIONAL,4.7,26,"primary_school, school, point_of_interest, establishment",IDN.9.14.5.1_1
Elementary School Assalaam,"Jalan Sasak Gantung No.1-4, Balonggede",-6.925699,107.607614,OPERATIONAL,4.9,247,"primary_school, school, point_of_interest, establishment",IDN.9.14.26.2_1
Senior High School Pasundan 1,"Jalan Balonggede No.28, Balonggede",-6.9235967,107.6076382,OPERATIONAL,4.5,253,"school, point_of_interest, establishment",IDN.9.14.26.2_1
Junior High School Assalaam,"Jalan Sasak Gantung No.12-14, Balonggede",-6.9260381,107.6079401,OPERATIONAL,4.8,142,"school, point_of_interest, establishment",IDN.9.14.26.2_1
TK Assalaam,"Jalan Sasak Gantung No.9, Balonggede",-6.9257921,107.6082948,OPERATIONAL,5,381,"school, point_of_interest, establishment",IDN.9.14.26.2_1
Taman Pendidikan Quran (TPQ) Assalaam,"Gang Disan No.10, Balonggede",-6.9248962,107.6078713,OPERATIONAL,5,16,"school, point_of_interest, establishment",IDN.9.14.26.2_1
Pasundan Junior High School 1 Bandung,"Jalan Pasundan No.32, Balonggede",-6.9242743,107.6080385,OPERATIONAL,4.4,73,"school, point_of_interest, establishment",IDN.9.14.26.2_1
SMP Pasundan 2 Bandung,"Jalan Pasundan No.32, Balonggede",-6.924223,107.6078673,OPERATIONAL,4.8,41,"school, point_of_interest, establishment",IDN.9.14.26.2_1
Junior High School 43 Bandung,"Jalan Kautamaan Istri No.43, Balonggede",-6.9256767,107.6069018,OPERATIONAL,4.7,81,"school, point_of_interest, establishment",IDN.9.14.26.2_1
Elementary School Balonggede,"Jalan Balonggede No.49, Balonggede",-6.9245542,107.6075487,OPERATIONAL,4.5,26,"primary_school, school, point_of_interest, establishment",IDN.9.14.26.2_1
Yayasan Assalaam Bandung,"Jalan Yuda No.1, Balonggede",-6.9270919,107.6075299,OPERATIONAL,4.3,20,"school, point_of_interest, establishment",IDN.9.14.26.2_1
SMP Negeri 34 Bandung,"Jalan Waas, Batununggal",-6.9504815,107.6259904,OPERATIONAL,4.5,158,"school, point_of_interest, establishment",IDN.9.14.6.1_1
RA Assyakur,"Jalan Sekelimus Utara No.16, Batununggal",-6.9477442,107.638663,OPERATIONAL,5,2,"school, point_of_interest, establishment",IDN.9.14.6.1_1
Homeschooling Primagama Bandung 1,"Jalan Parakan Ayu II No.8, Batununggal",-6.9515704,107.6317771,OPERATIONAL,4.4,18,"school, point_of_interest, establishment",IDN.9.14.6.1_1
TKIT Luqmanul Hakim,"Jalan Parakan Arum No.17, Batununggal",-6.9509592,107.6291131,OPERATIONAL,5,13,"school, point_of_interest, establishment",IDN.9.14.6.1_1
SDN 117 Batununggal,"Jalan Arhanudri No.12b, Batununggal",-6.9526894,107.6363534,OPERATIONAL,3,2,"primary_school, school, point_of_interest, establishment",IDN.9.14.6.1_1
Paud Melati Bunda,"Jalan Arhanudri III, Batununggal",-6.9536425,107.6363075,OPERATIONAL,5,2,"school, point_of_interest, establishment",IDN.9.14.6.1_1
Lpk Pelita Hati,"Jalan Terusan Buah Batu No.41A, Batununggal",-6.9519097,107.637443,OPERATIONAL,5,1,"school, point_of_interest, establishment",IDN.9.14.6.1_1
SDN 130 Batununggal/Sekelimus,"Jalan Terusan Buah Batu Gang Anyelir, Batununggal",-6.9529483,107.6374732,OPERATIONAL,4.5,11,"school, point_of_interest, establishment",IDN.9.14.6.1_1
Sekolah Dasar Negeri Parakan Waas,"Jalan Waas No.94 B, Batununggal",-6.953087,107.6267809,OPERATIONAL,5,10,"primary_school, school, point_of_interest, establishment",IDN.9.14.6.1_1
POS PAUD CEMPAKA V,"Jalan Terusan Buah Batu No.59, Batununggal",-6.9519854,107.6380459,OPERATIONAL,5,2,"school, point_of_interest, establishment",IDN.9.14.6.1_1
31 Bandung Junior High School,"Jalan Binong Jati No.139, Binong",-6.9384589,107.6404348,OPERATIONAL,4.6,117,"school, point_of_interest, establishment",IDN.9.14.9.1_1
Kursus Mengemudi Bathara,"Jalan. Ibrahim Adjie.344a, Kiaracondong",-6.9363471,107.6422487,OPERATIONAL,4.9,25,"school, point_of_interest, establishment",IDN.9.14.9.1_1
Merajut Asa Kita (MASAKI/MERAKIT),Jalan Binong Jati No.124,-6.935711,107.6403222,OPERATIONAL,5,4,"school, point_of_interest, establishment",IDN.9.14.9.1_1
PKBM Minda Utama - Sekolah Paket C Bandung,"Jalan. Karapitan, No. 13B RT. 002/01, Burangrang, Paledang",-6.9244824,107.617495,OPERATIONAL,5,386,"school, point_of_interest, establishment",IDN.9.14.22.1_1
BPI 1 Bandung High School,"Yayasan Badan Perguruan Indonesia (BPI, Jalan Burangrang No.8, Burangrang",-6.923941,107.6194105,OPERATIONAL,4.5,261,"point_of_interest, school, establishment",IDN.9.14.22.1_1
Yayasan BPI Bandung,"Jalan Burangrang No.8, Burangrang",-6.9239201,107.6195762,OPERATIONAL,4.9,8,"point_of_interest, school, establishment",IDN.9.14.22.1_1
SMA BPI 2 Bandung,"Jalan Burangrang Dalam No.8, Burangrang",-6.9235189,107.6193241,OPERATIONAL,4.9,45,"point_of_interest, school, establishment",IDN.9.14.22.1_1
SMAT Pelita Nusantara,"Jalan Paledang No.297a, Campaka",-6.9016287,107.5691457,OPERATIONAL,4.3,127,"school, secondary_school, point_of_interest, establishment",IDN.9.14.1.1_1
SMAN 13 Bandung,"Jalan Raya Cibeureum No.52, Campaka",-6.9034411,107.5650556,OPERATIONAL,4.5,195,"secondary_school, school, point_of_interest, establishment",IDN.9.14.1.1_1
Sekolah Menengah Atas Kristen 3 BPK Penabur Bandung,"Jalan Raya Cibeureum No.92, Campaka",-6.8987989,107.5634918,OPERATIONAL,4.7,27,"school, point_of_interest, establishment",IDN.9.14.1.1_1
Smp Negeri 67,"Jalan Asrama Kipal No.55, Campaka",-6.9007756,107.565706,OPERATIONAL,5,6,"school, point_of_interest, establishment",IDN.9.14.1.1_1
Cahaya Al - Amin,"Jalan Bojong Koneng No.4, Campaka",-6.8995783,107.5668364,OPERATIONAL,5,1,"school, point_of_interest, establishment",IDN.9.14.1.1_1
Kompleks SDN Cibeureum 091,"Jalan Asrama Kipal No.55, Campaka",-6.9007051,107.5655579,OPERATIONAL,4.3,39,"school, point_of_interest, establishment",IDN.9.14.1.1_1
TK. Tawekal,"Jalan Sapta Marga, Campaka",-6.901723,107.5649552,OPERATIONAL,5,3,"school, point_of_interest, establishment",IDN.9.14.1.1_1
Smak Bpk Penabur 3,"Jalan Asrama Kipal, Campaka",-6.9019162,107.5650814,OPERATIONAL,5,1,"school, point_of_interest, establishment",IDN.9.14.1.1_1
SD Advent Cimindi,"Jalan Raya Cimindi No.74, Campaka",-6.9013472,107.5639137,OPERATIONAL,5,1,"primary_school, school, point_of_interest, establishment",IDN.9.14.1.1_1
Sekolah Menengah Atas Advent Cimindi,"Jalan Raya Cimindi No.74 02, Campaka",-6.9013555,107.5638996,OPERATIONAL,4.7,56,"school, point_of_interest, establishment",IDN.9.14.1.1_1
SMK Muslimin 1 Bandung,"Jalan Paledang No.297, Campaka",-6.9015485,107.5692883,OPERATIONAL,4.9,38,"secondary_school, school, point_of_interest, establishment",IDN.9.14.1.1_1
Sekolah Dasar Negeri Cibeureum 1,"Jalan Asrama Kipal No.56, Campaka",-6.9037313,107.5678109,OPERATIONAL,4.3,15,"primary_school, school, point_of_interest, establishment",IDN.9.14.1.1_1
TAAM Happy Kids,"Jalan Paledang, Campaka",-6.902632,107.5700584,OPERATIONAL,5,5,"school, point_of_interest, establishment",IDN.9.14.1.1_1
SMK Widya Dirgantara,"Jalan Bojong Raya No.114 A, Cibuntu",-6.9270805,107.5673435,OPERATIONAL,4.3,42,"school, point_of_interest, establishment",IDN.9.14.7.1_1
TK - SD Kristen Pelita,"Jalan Holis No.300, Caringin",-6.932765,107.571771,OPERATIONAL,4.9,80,"primary_school, point_of_interest, school, establishment",IDN.9.14.7.1_1
SD Atta'zhimiyah,"Jalan Holis, Caringin",-6.9330072,107.5718714,OPERATIONAL,1,1,"school, point_of_interest, establishment",IDN.9.14.7.1_1
Smp pasundan 2 Cimahi,"Jalan Bojong Raya No.62, Caringin",-6.9275678,107.5701558,OPERATIONAL,4,1,"point_of_interest, school, establishment",IDN.9.14.7.1_1
Smp Bppi Bojong,"Jalan Bojong Raya No.10, Cibuntu",-6.9276629,107.573388,OPERATIONAL,5,2,"school, point_of_interest, establishment",IDN.9.14.7.1_1
SD Kristen Kalam Kudus,"Jalan Ibu Inggit Garnasih No.108, Ciateul",-6.932314,107.6085818,OPERATIONAL,4.7,15,"primary_school, school, point_of_interest, establishment",IDN.9.14.26.3_1
SMPN 11 Bandung,"Jalan Haji Samsudin No.34, Ciateul",-6.9348447,107.6080172,OPERATIONAL,4.6,157,"school, point_of_interest, establishment",IDN.9.14.26.3_1
Play Group Penabur Singgasana,"Jalan Indraprasta Timur No.1, Cibaduyut",-6.9368233,107.6099799,OPERATIONAL,5,1,"school, point_of_interest, establishment",IDN.9.14.26.3_1
TK Al Ikhlas,"Jalan Kotabaru VI, Ciateul",-6.9348818,107.6089202,OPERATIONAL,5,2,"school, point_of_interest, establishment",IDN.9.14.26.3_1
Sekolah Kristen Gamaliel,"Jalan Jend. Sudirman No.205-207, Cibadak",-6.9202306,107.597062,OPERATIONAL,4.2,45,"school, point_of_interest, establishment",IDN.9.14.4.1_1
SMPN 38 Bandung,"Jalan Borobudur No.1, Cibaduyut Kidul",-6.958425,107.59143,OPERATIONAL,4.5,113,"school, point_of_interest, establishment",IDN.9.14.11.2_1
TKQ - DTA - DTW AL ALAWY AL ISLAMI,"Jalan Ciparay Tengah No.236, RT.01/RW.06, Cibaduyut Kidul",-6.959878,107.5894763,OPERATIONAL,5,1,"school, food, store, point_of_interest, establishment",IDN.9.14.11.2_1
Pondok Pesantren Syifaaush Shuduur,"Jalan Ciparay Tengah No.30, Cibaduyut Kidul",-6.9604867,107.5910132,OPERATIONAL,4.7,43,"school, point_of_interest, establishment",IDN.9.14.11.2_1
Sekolah Menengah Atas Plus Pariwisata,"Jalan Borobudur No.1, RW.4, Cibaduyut Kidul",-6.9584453,107.5913795,OPERATIONAL,5,1,"secondary_school, school, point_of_interest, establishment",IDN.9.14.11.2_1
Sekolah Dasar Negeri 229 Cibaduyut,"Jalan Prambanan No.4 Blok O, RT.2/RW.3, Cibaduyut Kidul",-6.9603426,107.5922752,OPERATIONAL,4.6,15,"primary_school, school, point_of_interest, establishment",IDN.9.14.11.2_1
RA/BA/TA Mutmainnah,"Jalan Prambanan No.3, RW.06, Cibaduyut Kidul",-6.9593126,107.5924476,OPERATIONAL,5,1,"school, point_of_interest, establishment",IDN.9.14.11.2_1
SDN 228 Cangkuang,"Jalan Ciparay Tengah, Cibaduyut Kidul",-6.9614931,107.5916685,OPERATIONAL,4.9,14,"primary_school, school, point_of_interest, establishment",IDN.9.14.11.2_1
TKIT Muthmainnah,"Komplek Cibaduyut Permai, Jln Prambanan B 3, Cibaduyut Kidul",-6.9592525,107.5924817,OPERATIONAL,4.6,15,"school, point_of_interest, establishment",IDN.9.14.11.2_1
Ra Al-Baqy,"Jalan. Ciparay Tengah Komp.Teratai Indah I No. 06 Kel. Cibaduyut Kidul, Kecamatan Bojongloa Kidul, Cibaduyut Kidul, Bojongloa Kidul, Cibaduyut Kidul",-6.961509,107.592262,OPERATIONAL,5,1,"school, point_of_interest, establishment",IDN.9.14.11.2_1
