name,address,lat,lng,rating,user_ratings_total
My Dimsum,"Jalan Ranca Bentang II No.37, Ciumbuleuit",-6.873426299999999,107.6069954,5,1
Bubur Ayam SULTAN,"4JG4+HR7, Jalan Rancabentang RW.06, Ciumbuleuit",-6.873575599999999,107.6070602,Unknown,Unknown
Nasi Goreng Makmur Sari Rasa,"Jalan Rancabentang RW.06, Ciumbuleuit",-6.873686200000001,107.6070377,Unknown,Unknown
WARUNG GEMINI GEMBOEL,"4JG4+GR6, Jalan Rancabentang Dalam RW.06, Ciumbuleuit",-6.8737137,107.6070308,5,3
Bubur ayam dan nasi kuning 82,"Jalan Bukit Tunggul No.12, Ciumbuleuit",-6.8727441,107.6069524,5,1
Bakso Solo Pak Gilang,"Jalan Bukit Tunggul No.12, Ciumbuleuit",-6.8727441,107.6069524,4.7,341
Ketoprak Ibu Ida,"4JG5+R27, Jalan Ranca Bentang III, Ciumbuleuit",-6.8729698,107.607541,4.3,7
Sempol ayam dan telor gulung madeup,"Kompleks PU, Jalan Rancabentang Dalam, Ciumbuleuit",-6.873795299999999,107.6069403,5,1
Warung Pengkolan Ibu Nanih (WARPENG),"Jalan Rancabentang No.33, Ciumbuleuit",-6.872652200000001,107.6071425,5,1
Nasi Goreng Bcjanda,"4JG5+G3F, Jalan Ranca Bentang II, Ciumbuleuit",-6.873684799999999,107.6076608,3,2
MY JASDOR,"Jalan Ranca Bulan No.135, Ciumbuleuit",-6.872730299999999,107.6077477,Unknown,Unknown
Warung nasi ibu ida,"Jalan Ranca Bentang III No.79, Ciumbuleuit",-6.872838199999999,107.607821,Unknown,Unknown
O M M O,"Jalan Rancabentang No.16, Ciumbuleuit",-6.8716296,107.6075908,Unknown,Unknown
Ommo Bacang Jando,"Jalan Rancabentang No.12a, Ciumbuleuit",-6.8720225,107.6074918,4.3,3
Waroeng Ethnic,"Jalan Rancabentang No.18, Ciumbuleuit",-6.8710735,107.6077404,4.5,2207
Homeground Restaurant,Jalan Gunung Batu No.3,-6.869807499999999,107.607285,4,133
Ayam Goreng Teh Rety,"4JJ5+937, Jalan Gunung Batu, Ciumbuleuit",-6.869084900000001,107.6076655,5,2
Kedai Uwa Dekasuki,"No 1 A, jl.G.Batu, Jalan Rancabentang RT.006/RW.006, Ciumbuleuit",-6.870439299999999,107.6075042,Unknown,Unknown
Maxi’s Resto,"Jalan Gunung Agung No.8, Ciumbuleuit",-6.867994399999999,107.6072323,4.6,3858
Warung Ayam Serundeng AGS,"Jalan Gunung Agung No.1, Ciumbuleuit",-6.867739699999999,107.6067811,5,2
Warteg RAWON,"Jalan Ciumbuleuit No.dekat, Bunderan",-6.867239800000001,107.6064712,4.7,10
Bubur Ayam (Depan Sejiwa),"Jalan Kiputih No.3, Ciumbuleuit",-6.865823700000001,107.6067167,5,1
Sate gundul bunderan,"4JM4+MG2, Jalan Kiputih, Ciumbuleuit",-6.8658619,107.6062736,5,2
Warung Seblak Bu Gaul,"Jalan Bukit Raya No.298B, Ciumbuleuit",-6.8641974,107.6070064,5,2
Great Hot Bandung,"Jalan Bukit Raya Atas No.53c, Ciumbuleuit",-6.8607607,107.6070046,Unknown,Unknown
Dapur Lestari,"Jalan Bukit Raya Atas No.95, Ciumbuleuit",-6.860512000000002,107.6069901,Unknown,Unknown
Lumburger,"Jalan Bukit Raya Atas No.53C, Ciumbuleuit",-6.8608718,107.607131,Unknown,Unknown
Sate Maranggi,"Depan SMP Negeri 52, Jalan Bukit Raya Atas No.99, RT.08/RW.03, Ciumbuleuit",-6.860812299999999,107.6069237,3.9,22
FuturisTea,"Jalan Bukit Raya Atas No.53, Ciumbuleuit",-6.860400800000001,107.6073194,3.5,2
Nuansa Lapar Kedai Gemoy,Jalan Bukit Raya Atas,-6.8609342,107.606752,4.7,3
Warung Nasi DLima - Gorengan,"4JQ4+JM5, Jalan Bukit Raya Atas, Ciumbuleuit",-6.860981199999999,107.6067113,Unknown,Unknown
Batagor Restu,"Jalan Bukit Raya No.584, Ciumbuleuit",-6.8610478,107.6067308,4.4,11
Bakso Cah Nom,"Jalan Bukit Raya Atas No.60, RT.01, Ciumbuleuit",-6.860202500000001,107.6073517,2.5,2
Putra Jaya Seafood 2 Ciumbeleuit,"SMP 52 Punclut Bandung, Jalan Bukit Raya RT.08/RW.03, Ciumbuleuit",-6.860279100000001,107.6065864,5,2
Dapoer Mama Uty 57,"4JQ4+WJ3, Ciumbuleuit",-6.860226600000001,107.6065518,Unknown,Unknown
SEBLAK POJOK RASA,Jalan Bukit Raya Atas No.47 a,-6.861359899999999,107.6067036,5,5
Warung Nasi Sindang Heula Ibu Ida,"4JR4+2WH, Ciumbuleuit",-6.859927799999999,107.6073693,4.2,6
Ayam Goreng Ibu Yati,"Jalan Bukit Raya Atas No.60, RT.08/RW.03, Ciumbuleuit",-6.859985300000002,107.6075715,4.9,7
Satu Rasa,"Jalan Bukit Raya Atas No.133, Ciumbuleuit",-6.858809300000001,107.6077409,Unknown,Unknown
Ayam geprek neng Lui,"Jalan Bukit Raya Atas No.100 k, Ciumbuleuit",-6.859679399999999,107.6072057,5,2
Warung klontong teh uli,Jalan Bukit Raya Atas No.147,-6.8593457,107.6078716,Unknown,Unknown
Dapoer Mama_twinz,"Jalan Rereongan Sarupi No.03, Ciumbuleuit",-6.857547299999999,107.6078528,4.7,3
TOKO DAN WARTEG MEY MEY,"Jalan Ranca Bentang II No.42, Ciumbuleuit",-6.874047899999999,107.6086224,5,3
Kedai Wa Oded,"Jalan Ranca Bulan V No.5, Ciumbuleuit",-6.8736799,107.6091101,5,2
Kantin Legendaris Raben 2,"Jalan Ranca Bentang II No.6, RT.1/RW.6, Ciumbuleuit",-6.8738288,107.608197,4.7,73
Wellchick,"Jalan Ranca Bentang II No.24, RT.007/RW.6, Ciumbuleuit",-6.874486699999999,107.6080548,5,3
Lotek bu nina,"Jalan Gunung Kencana No.8-10, Ciumbuleuit",-6.8724449,107.6087259,5,1
Warung GK,"Jalan Gunung Kencana No.8 A, Ciumbuleuit",-6.8724935,107.6086888,5,4
kantin 82,"Jalan Gunung Kencana No.8, Ciumbuleuit",-6.8725564,107.6085371,5,3
Bubur ayam dan nasi kuning 82 Shop,"Jalan Ranca Bulan No.157, RT.05/RW.06, Ciumbuleuit",-6.872550100000001,107.6084595,5,1
RICE BOWL KEDAI MR KRIUK,"Jalan Ranca Bulan No.171, Ciumbuleuit",-6.872420399999999,107.6083704,5,2
Bubur Ayam Ci'MAS Nadrin,"4JG5+W8H, Jalan Ranca Bulan, Ciumbuleuit",-6.8726847,107.6083666,3,2
Kedai GK ( Grandline Kencana ),"Gang Gunung Kencana 2 No.226, Ciumbuleuit",-6.871925899999999,107.6088903,Unknown,Unknown
Nasi Goreng Manarina,"Gang Gunung Kencana 2, Ciumbuleuit",-6.871832999999999,107.6088474,4.8,4
BUBUR AYAM DAN NASI KUNING RABEN 211,"Jalan Gunung Kencana 2 No.211b, Ciumbuleuit",-6.871657899999999,107.6087537,5,2
Ekara Coffee - Gunung Kencana,Ciumbuleuit,-6.8728032,107.6094818,4.6,733
Kedai Balakutak,"Jalan Ranca Bulan IV No.3, Hegarmanah",-6.873247099999999,107.6086391,4.6,8
chicken brother,"Jalan Gunung Kencana No.2, Ciumbuleuit",-6.871552399999999,107.6087655,5,2
Dekasuki Oriental Food & Catering,"Jl.Rancabulan 164 RT 05-06 Rancabentang Ciumbuleuit, Ciumbuleuit",-6.8725944,107.6078859,4,4
A2R Kitchen,"Jalan Gunung Kencana 2 No.187, Ciumbuleuit",-6.870870200000001,107.6091885,4.5,2
Warung Nasi Ibu Irah,"Jalan Rancabentang No.3, Ciumbuleuit",-6.8711039,107.6089242,3.4,9
Chick'Row,"Jalan Rancabentang I No.3a, Ciumbuleuit",-6.871109,107.6090043,Unknown,Unknown
Syl's Kitchen,"Jalan Rancabentang No.1, Ciumbuleuit",-6.871146300000001,107.6089466,4.5,32
Sein's Kitchen,"Jalan Rancabentang No.2C, Ciumbuleuit",-6.871093300000001,107.6091942,5,2
Arenak Express,"Jalan Gunung Batu No.2C, Ciumbuleuit",-6.870286000000001,107.6079988,Unknown,Unknown
Miss Bee Providore,"Jalan Rancabentang No.11A, Ciumbuleuit",-6.8683101,107.6091653,4.7,8542
Baby Dutch Pancake,"Jalan Gunung Kareumbi No.10, Ciumbuleuit",-6.869404,107.6088106,4.6,1352
Nanny's Pavillon Kareumbi,"Jalan Gunung Kareumbi No.10, Ciumbuleuit",-6.8694497,107.6087574,4.8,62
Batagor si Teteh,"4JJ5+MQ4, Ciumbuleuit",-6.868368499999999,107.6094391,5,1
Resto & Cafe Concordia,"Jalan Kiputih No.12, Ciumbuleuit",-6.8669604,107.6091398,4.4,43
Bumi Sangkuriang & Concordia Hotel,"Jalan Kiputih No.12, Ciumbuleuit",-6.867029299999999,107.609031,4.5,4248
The Restaurant - Padma Hotel Bandung,"Jalan Rancabentang No.56-58, Ciumbuleuit",-6.8643331,107.6088677,4.6,1755
The Restaurant - Padma Hotel Bandung,"Jalan Rancabentang No.56-58, Ciumbuleuit",-6.8643331,107.6088677,4.6,1755
Angkringan 78,"Jalan Bukit Raya No.293, Ciumbuleuit",-6.8623062,107.6088083,4.7,26
Daruma mentai punclut,"4JR5+2FV, Ciumbuleuit",-6.859887000000001,107.6086768,5,2
Halal Ho Ciak,"Jalan Bukit Raya Atas No.230, Ciumbuleuit",-6.859895799999999,107.6090678,Unknown,Unknown
Kedai Soma,"Jalan Bukit Raya No.213, Ciumbuleuit",-6.860062,107.6085795,5,3
Warung makan mekar wangi ibu penti,"Jalan Bukit Raya Atas No.181, Ciumbuleuit",-6.858158100000001,107.60877,5,4
"RM Sindang Heula Enjang Cahya,SH","Jalan Bukit Raya Atas No.163, Ciumbuleuit",-6.8581842,107.6087605,4.5,2
Warkim (waroeng kimmi),"Jalan Rereongan Sarupi No.155, Ciumbuleuit",-6.8578727,107.6080108,4.8,16
Rm Putra Mumunggang,"4JV5+28Q, Jalan Rereongan Sarupi No.173, Ciumbuleuit",-6.857362999999999,107.6084062,5,2
Warkop darsih,"Jalan Bukit Raya Atas No.155, Ciumbuleuit",-6.858795199999999,107.6084098,Unknown,Unknown
